id,name,symbol,slug,num_market_pairs,date_added,tags,max_supply,circulating_supply,total_supply,platform,cmc_rank,self_reported_circulating_supply,self_reported_market_cap,last_updated,quote.USD.price,quote.USD.volume_24h,quote.USD.volume_change_24h,quote.USD.percent_change_1h,quote.USD.percent_change_24h,quote.USD.percent_change_7d,quote.USD.percent_change_30d,quote.USD.percent_change_60d,quote.USD.percent_change_90d,quote.USD.market_cap,quote.USD.market_cap_dominance,quote.USD.fully_diluted_market_cap,quote.USD.last_updated,platform.id,platform.name,platform.symbol,platform.slug,platform.token_address
6636,Polkadot,DOT,polkadot-new,349,2020-08-19T00:00:00.000Z,"['substrate', 'polkadot', 'binance-chain', 'polkadot-ecosystem', 'three-arrows-capital-portfolio', 'polychain-capital-portfolio', 'arrington-xrp-capital-portfolio', 'blockchain-capital-portfolio', 'boostvc-portfolio', 'cms-holdings-portfolio', 'coinfund-portfolio', 'fabric-ventures-portfolio', 'fenbushi-capital-portfolio', 'hashkey-capital-portfolio', 'kenetic-capital-portfolio', '1confirmation-portfolio', 'placeholder-ventures-portfolio', 'pantera-capital-portfolio', 'exnetwork-capital-portfolio', 'web3', 'spartan-group', 'injective-ecosystem', 'bnb-chain']",,987579314.957085,1103303471.382273,,11,904869778.0,9224822960.65544,2022-05-31T15:32:00.000Z,10.194641466581768,714235967.0056547,5.4963,0.55106077,-0.88510004,3.65378151,-33.23877997,-53.59824801,-45.72235004,10068017035.799915,0.772,11247783319.58,2022-05-31T15:32:00.000Z,2502.0,Huobi Token,HT,huobi-token,0xa2c49cee16a5e5bdefde931107dc1fae9f7773e3
3717,Wrapped Bitcoin,WBTC,wrapped-bitcoin,435,2019-01-30T00:00:00.000Z,"['medium-of-exchange', 'defi', 'wrapped-tokens', 'fantom-ecosystem', 'arbitrum-ecosytem', 'moonriver-ecosystem']",,273801.77990986,273801.77990986,,12,,,2022-05-31T15:31:00.000Z,31600.566184828887,459680367.9840798,58.1506,0.45481987,3.4467614,8.89091553,-17.28468847,-31.96290076,-28.58910041,8652291267.565483,0.664,8652291267.57,2022-05-31T15:31:00.000Z,1027.0,Ethereum,ETH,ethereum,0x2260fac5e5542a773aa44fbcfedf7c193bc2c599
1958,TRON,TRX,tron,613,2017-09-13T00:00:00.000Z,"['media', 'payments', 'tron-ecosystem', 'bnb-chain']",,93950720005.42883,93950729956.34676,,13,71659659264.0,5775816270.11534,2022-05-31T15:31:00.000Z,0.08060066611308832,995213706.4787464,11.6085,0.47872858,-1.9189075,-2.19193497,17.65539224,8.66454202,30.6484387,7572490614.2418165,0.5806,7572491416.29,2022-05-31T15:31:00.000Z,1839.0,BNB,BNB,bnb,0x85eac5ac2f758618dfa09bdbe0cf174e7d574d5b
5805,Avalanche,AVAX,avalanche,261,2020-07-13T00:00:00.000Z,"['defi', 'smart-contracts', 'polychain-capital-portfolio', 'avalanche-ecosystem', 'cms-holdings-portfolio', 'dragonfly-capital-portfolio', 'moonriver-ecosystem', 'injective-ecosystem', 'bnb-chain']",720000000.0,271388139.4979487,404229626.49901325,,14,,,2022-05-31T15:31:00.000Z,26.215231831155304,1044125328.1462952,24.9359,0.47055364,-2.85832934,-6.87296234,-55.88168472,-73.00436963,-68.93715415,7114502993.164641,0.5458,18874966918.43,2022-05-31T15:31:00.000Z,1839.0,BNB,BNB,bnb,0x1ce0c2827e2ef14d5c4f29a091d735a204794041
4943,Dai,DAI,multi-collateral-dai,980,2019-11-22T00:00:00.000Z,"['defi', 'stablecoin', 'ethereum-ecosystem', 'avalanche-ecosystem', 'polygon-ecosystem', 'fantom-ecosystem', 'arbitrum-ecosytem', 'harmony-ecosystem', 'moonriver-ecosystem', 'bnb-chain', 'usd-stablecoin']",,6756088045.675746,6756088045.675746,,15,,,2022-05-31T15:31:00.000Z,1.0004451103287129,249409213.34658507,4.4461,0.03047831,-0.00375303,-0.02772299,0.01715109,0.03015182,0.07454167,6759095250.24657,0.5183,6759095250.25,2022-05-31T15:31:00.000Z,1027.0,Ethereum,ETH,ethereum,0x6b175474e89094c44da98b954eedeac495271d0f
5994,Shiba Inu,SHIB,shiba-inu,358,2020-08-01T00:00:00.000Z,"['memes', 'ethereum-ecosystem', 'doggone-doggerel']",,549063278876301.94,589735030408322.8,,16,,,2022-05-31T15:31:00.000Z,1.1712004126622884e-05,562358838.5799731,-1.7309,0.59939289,0.10323826,1.15037132,-45.26092598,-55.43203125,-55.60040892,6430631387.976339,0.4934,6906979109.76,2022-05-31T15:31:00.000Z,1027.0,Ethereum,ETH,ethereum,0x95ad61b0a150d79219dcf64e1e6cc01f0b64c4ce
3890,Polygon,MATIC,polygon,398,2019-04-28T00:00:00.000Z,"['platform', 'enterprise-solutions', 'scaling', 'state-channel', 'coinbase-ventures-portfolio', 'binance-launchpad', 'binance-labs-portfolio', 'polygon-ecosystem', 'moonriver-ecosystem', 'injective-ecosystem', 'bnb-chain']",10000000000.0,7956181044.62,10000000000,,17,,,2022-05-31T15:31:00.000Z,0.6566135671899906,582222764.1933339,35.6685,0.58745848,4.25143555,4.22333899,-41.06405195,-61.15321648,-60.4523136,5224136416.917324,0.4006,6566135671.9,2022-05-31T15:31:00.000Z,1027.0,Ethereum,ETH,ethereum,0x7D1AfA7B718fb893dB30A3aBc0Cfc608AaCfeBB0
3957,UNUS SED LEO,LEO,unus-sed-leo,19,2019-05-21T00:00:00.000Z,"['marketplace', 'centralized-exchange', 'discount-token', 'payments', 'kenetic-capital-portfolio', 'alameda-research-portfolio']",,953954130.0,985239504,,18,,,2022-05-31T15:31:00.000Z,5.29926671141548,6519927.05566802,1.857,0.19709715,1.44437134,8.56504456,-4.91330059,-11.28783553,-11.02973764,5055257365.326315,0.3876,5221046906.32,2022-05-31T15:31:00.000Z,1027.0,Ethereum,ETH,ethereum,0x2af5d2ad76741191d15dfe7bf6ac92d4bd912ca3
2,Litecoin,LTC,litecoin,779,2013-04-28T00:00:00.000Z,"['mineable', 'pow', 'scrypt', 'medium-of-exchange', 'binance-chain', 'bnb-chain']",84000000.0,70405543.77791464,84000000,,19,,,2022-05-31T15:32:00.000Z,67.80563570456513,570614503.1311138,8.9486,0.31170795,2.02133251,-0.67386641,-31.08136664,-45.89502459,-38.89858971,4773892652.987093,0.3663,5695673399.18,2022-05-31T15:32:00.000Z,2502.0,Huobi Token,HT,huobi-token,0xecb56cf772b5c9a6907fb7d32387da2fcbfb63b4
3635,Cronos,CRO,cronos,136,2018-12-14T00:00:00.000Z,"['medium-of-exchange', 'cosmos-ecosystem', 'centralized-exchange', 'mobile', 'payments']",30263013692.0,25263013692.0,30263013692,,20,,,2022-05-31T15:31:00.000Z,0.18728125953602193,39679444.24624646,25.6926,0.64686949,2.06302842,2.2906525,-40.94429681,-60.94683331,-57.9217524,4731289023.9135275,0.363,5667695321.59,2022-05-31T15:31:00.000Z,1027.0,Ethereum,ETH,ethereum,0xa0b73e1ff0b80914ab6fe0444e65848c4c34450b
6535,NEAR Protocol,NEAR,near-protocol,155,2020-08-11T00:00:00.000Z,"['platform', 'staking', 'coinbase-ventures-portfolio', 'arrington-xrp-capital-portfolio', 'coinfund-portfolio', 'electric-capital-portfolio', 'fabric-ventures-portfolio', 'kenetic-capital-portfolio', 'near-protocol-ecosystem', 'injective-ecosystem', 'bnb-chain']",1000000000.0,701682445.0,1000000000,,21,,,2022-05-31T15:32:00.000Z,5.954901280684967,911696132.1308726,105.5678,-0.68907237,8.24086008,3.86883368,-48.31079758,-57.13580355,-46.36548937,4178449690.3646593,0.3206,5954901280.68,2022-05-31T15:32:00.000Z,1839.0,BNB,BNB,bnb,0x1fa4a73a3f0133f0025378af00236f3abdee5d63
7083,Uniswap,UNI,uniswap,370,2020-09-17T00:00:00.000Z,"['decentralized-exchange', 'defi', 'dao', 'yield-farming', 'amm', 'coinbase-ventures-portfolio', 'three-arrows-capital-portfolio', 'governance', 'blockchain-capital-portfolio', 'defiance-capital-portfolio', 'alameda-research-portfolio', 'a16z-portfolio', 'pantera-capital-portfolio', 'parafi-capital', 'paradigm-portfolio', 'arbitrum-ecosytem', 'injective-ecosystem', 'bnb-chain']",1000000000.0,718896128.5291605,1000000000,,22,,,2022-05-31T15:31:00.000Z,5.7142416045896445,185069380.83909604,18.9508,0.92172088,4.5669129,4.59554381,-19.1335493,-51.59513316,-43.87739806,4107946167.0197535,0.3153,5714241604.59,2022-05-31T15:31:00.000Z,1027.0,Ethereum,ETH,ethereum,0x1f9840a85d5af5bf1d1762f925bdaddc4201f984
4195,FTX Token,FTT,ftx-token,125,2019-07-31T00:00:00.000Z,"['marketplace', 'centralized-exchange', 'derivatives', 'cms-holdings-portfolio', 'kenetic-capital-portfolio', 'alameda-research-portfolio', 'pantera-capital-portfolio', 'exnetwork-capital-portfolio']",352170015.0,136174634.01874372,332043970.0859715,,23,,,2022-05-31T15:32:00.000Z,28.883399523126496,74481944.74928463,18.4854,0.33211756,2.11552213,-0.81310299,-25.53906102,-43.1685851,-38.39347483,3933186359.278908,0.3016,10171867243.31,2022-05-31T15:32:00.000Z,1839.0,BNB,BNB,bnb,FTT-F11
1831,Bitcoin Cash,BCH,bitcoin-cash,602,2017-07-23T00:00:00.000Z,"['mineable', 'pow', 'sha-256', 'marketplace', 'medium-of-exchange', 'store-of-value', 'enterprise-solutions', 'payments', 'binance-chain', 'bnb-chain']",21000000.0,19078068.75,19078068.75,,24,,,2022-05-31T15:31:00.000Z,194.71781612663554,2778939133.692673,35.8694,0.52525528,3.36493921,2.80491652,-30.83766869,-48.92255743,-39.49345515,3714839882.9138117,0.2848,4089074138.66,2022-05-31T15:31:00.000Z,2502.0,Huobi Token,HT,huobi-token,0xef3cebd77e0c52cb6f60875d9306397b5caca375
512,Stellar,XLM,stellar,429,2014-08-05T00:00:00.000Z,"['medium-of-exchange', 'enterprise-solutions', 'decentralized-exchange', 'smart-contracts', 'hashkey-capital-portfolio']",50001806812.0,24888763987.92107,50001787781.9989,,25,,,2022-05-31T15:32:00.000Z,0.1456050261905357,357131123.9154243,48.8529,0.13353687,4.97803469,14.5228346,-16.48695133,-37.34630732,-25.18122966,3623929132.311309,0.2782,7280514390.44,2022-05-31T15:32:00.000Z,,,,,
328,Monero,XMR,monero,180,2014-05-21T00:00:00.000Z,"['mineable', 'pow', 'medium-of-exchange', 'privacy', 'ringct', 'boostvc-portfolio', 'electric-capital-portfolio', 'galaxy-digital-portfolio']",,18128520.17243724,18128520.17243724,,26,,,2022-05-31T15:32:00.000Z,192.91796994635888,285775192.34701157,38.0521,-0.5953158,-2.56321826,0.6531176,-10.18712642,-12.84614619,9.20420742,3497317309.798208,0.2682,3497317309.8,2022-05-31T15:32:00.000Z,5604.0,Secret,SCRT,secret,secret19ungtd2c7srftqdwgq0dspwvrw63dhu79qxv88
1975,Chainlink,LINK,chainlink,649,2017-09-20T00:00:00.000Z,"['platform', 'defi', 'oracles', 'smart-contracts', 'substrate', 'polkadot', 'polkadot-ecosystem', 'avalanche-ecosystem', 'solana-ecosystem', 'framework-ventures-portfolio', 'polygon-ecosystem', 'fantom-ecosystem', 'cardano-ecosystem', 'web3', 'near-protocol-ecosystem', 'arbitrum-ecosytem', 'cardano', 'injective-ecosystem', 'bnb-chain']",1000000000.0,467009549.5205637,1000000000,,27,,,2022-05-31T15:31:00.000Z,7.351914985237666,419526622.6015489,16.8029,0.5913518,2.08881239,5.81819249,-34.50334634,-57.58201537,-52.6391837,3433414505.3693247,0.2633,7351914985.24,2022-05-31T15:31:00.000Z,1027.0,Ethereum,ETH,ethereum,0x514910771af9ca656af840dff83e8264ecf986ca
1321,Ethereum Classic,ETC,ethereum-classic,309,2016-07-24T00:00:00.000Z,"['mineable', 'pow', 'ethash', 'platform', 'smart-contracts', 'dcg-portfolio', 'bnb-chain']",210700000.0,135046589.71546024,210700000,,28,,,2022-05-31T15:31:00.000Z,23.50306950487251,516459804.92545754,28.1204,0.56662606,-2.32812243,7.25957537,-13.40709738,-50.18458578,-21.2463066,3174009384.478463,0.2434,4952096744.68,2022-05-31T15:31:00.000Z,1839.0,BNB,BNB,bnb,0x3d6545b08693dae087e957cb1180ee38b9e3c25e
3794,Cosmos,ATOM,cosmos,285,2019-03-14T00:00:00.000Z,"['platform', 'cosmos-ecosystem', 'content-creation', 'interoperability', 'binance-chain', 'polychain-capital-portfolio', 'dragonfly-capital-portfolio', 'hashkey-capital-portfolio', '1confirmation-portfolio', 'paradigm-portfolio', 'exnetwork-capital-portfolio', 'injective-ecosystem', 'bnb-chain']",,286370297.0,0,,29,,,2022-05-31T15:31:00.000Z,10.299545498061715,291671167.3150866,24.7487,0.58310237,0.43991315,-4.44687806,-43.02906665,-64.93347801,-66.30367404,2949483903.244946,0.2263,0.0,2022-05-31T15:31:00.000Z,1839.0,BNB,BNB,bnb,0x0eb3a705fc54725037cc9e008bdede697f62f335
4558,Flow,FLOW,flow,74,2021-01-27T00:00:00.000Z,"['collectibles-nfts', 'coinbase-ventures-portfolio', 'coinfund-portfolio', 'dcg-portfolio', 'ledgerprime-portfolio', 'a16z-portfolio', 'animoca-brands-portfolio']",,1036200000.0,1373338337,,30,,,2022-05-31T15:32:00.000Z,2.7043925356794714,101329816.55783978,141.8075,0.6688176,4.81799386,2.80842172,-42.60696234,-60.52458018,-58.32453661,2802291545.4710684,0.2149,3714045947.55,2022-05-31T15:32:00.000Z,1027.0,Ethereum,ETH,ethereum,0x5c147e74D63B1D31AA3Fd78Eb229B65161983B2b
4030,Algorand,ALGO,algorand,222,2019-06-20T00:00:00.000Z,"['pos', 'platform', 'research', 'smart-contracts', 'arrington-xrp-capital-portfolio', 'kenetic-capital-portfolio', 'usv-portfolio', 'multicoin-capital-portfolio', 'exnetwork-capital-portfolio']",10000000000.0,6865571152.170883,7271105865.249862,,31,,,2022-05-31T15:31:00.000Z,0.40595494798361087,163059747.46674502,50.0678,0.84571277,0.51465418,0.77621628,-32.24087204,-57.18718768,-50.55437931,2787112579.95731,0.2137,4059549479.84,2022-05-31T15:31:00.000Z,,,,,
3077,VeChain,VET,vechain,186,2017-08-22T00:00:00.000Z,"['logistics', 'data-provenance', 'iot', 'smart-contracts', 'fenbushi-capital-portfolio']",86712634466.0,64315576989.0,86712634466,,32,,,2022-05-31T15:31:00.000Z,0.032576405693155244,226673901.45855814,37.5748,0.78565719,3.24324063,6.07628861,-31.21993082,-59.99314108,-38.15352096,2095170328.383024,0.1606,2824785959.09,2022-05-31T15:31:00.000Z,1839.0,BNB,BNB,bnb,0x6FDcdfef7c496407cCb0cEC90f9C5Aaa1Cc8D888
18876,ApeCoin,APE,apecoin-ape,156,2022-03-17T12:26:36.000Z,"['collectibles-nfts', 'content-creation', 'gaming', 'entertainment', 'dao', 'governance', 'metaverse', 'animoca-brands-portfolio']",1000000000.0,292187500.0,1000000000,,33,292187500.0,1979145844.5195506,2022-05-31T15:32:00.000Z,6.773547275361029,630590113.4500101,40.0954,0.6013314,-1.81428818,-6.44331826,-59.16264847,-49.81963115,577.0861644,1979145844.5195506,0.1519,6773547275.36,2022-05-31T15:32:00.000Z,1027.0,Ethereum,ETH,ethereum,0x4d224452801aced8b2f0aebe155379bb5d594381
1966,Decentraland,MANA,decentraland,274,2017-09-17T00:00:00.000Z,"['platform', 'collectibles-nfts', 'gaming', 'payments', 'metaverse', 'boostvc-portfolio', 'dcg-portfolio', 'fabric-ventures-portfolio', 'kenetic-capital-portfolio', 'polygon-ecosystem', 'play-to-earn']",,1844078905.022486,2193657427.320146,,34,,,2022-05-31T15:31:00.000Z,1.0671339138135412,341871994.58056545,32.2306,0.73484602,2.43595589,7.04892403,-29.2332315,-59.71725264,-61.57637722,1967879139.2976348,0.151,2340926235.98,2022-05-31T15:31:00.000Z,1027.0,Ethereum,ETH,ethereum,0x0f5d2fb29fb7d3cfee444a200298f468908cc942
4642,Hedera,HBAR,hedera,101,2019-09-17T00:00:00.000Z,"['dag', 'marketplace', 'enterprise-solutions', 'payments', 'dcg-portfolio']",50000000000.0,20741406793.008232,50000000000,,35,19389577881.0,1832695123.9998095,2022-05-31T15:32:00.000Z,0.09451959889212863,34856666.66761424,48.2029,0.40662978,0.299976,-1.96998641,-35.10904755,-61.59936186,-57.72836827,1960469450.53361,0.1504,4725979944.61,2022-05-31T15:32:00.000Z,,,,,
8916,Internet Computer,ICP,internet-computer,117,2021-03-23T00:00:00.000Z,"['platform', 'distributed-computing', 'polychain-capital-portfolio', 'exnetwork-capital-portfolio']",,234094054.01127267,482137340.98626286,,36,234094058.75911307,1911106655.1604798,2022-05-31T15:32:00.000Z,8.16384091630041,154241355.56267715,40.2642,0.7872866,5.8991095,7.37648217,-37.6944684,-61.84525146,-57.51410539,1911106616.3998659,0.1467,3936092551.62,2022-05-31T15:32:00.000Z,,,,,
2011,Tezos,XTZ,tezos,215,2017-10-06T00:00:00.000Z,"['pos', 'platform', 'enterprise-solutions', 'collectibles-nfts', 'defi', 'smart-contracts', 'polychain-capital-portfolio', 'boostvc-portfolio', 'winklevoss-capital-portfolio']",,896561212.218576,918129384.8924,,37,,,2022-05-31T15:31:00.000Z,2.060285547908343,80009069.47421071,-4.3736,1.20559967,-4.95420072,3.66555112,-19.22007001,-45.96940242,-40.06394021,1847172108.349117,0.1417,1891608702.8,2022-05-31T15:31:00.000Z,1839.0,BNB,BNB,bnb,0x16939ef78684453bfdfb47825f8a5f714f12623a
6892,Elrond,EGLD,elrond-egld,99,2020-09-04T00:00:00.000Z,"['binance-launchpad', 'binance-labs-portfolio', 'electric-capital-portfolio', 'exnetwork-capital-portfolio', 'elrond-ecosystem', 'injective-ecosystem', 'bnb-chain']",31415926.0,22011294.89562629,23016298,,38,,,2022-05-31T15:32:00.000Z,81.96186735780255,99627908.76027358,-5.515,0.99887058,-0.44367385,-9.28767573,-36.5564726,-58.28426551,-47.44917967,1804086832.6087983,0.1383,2574907959.73,2022-05-31T15:32:00.000Z,1839.0,BNB,BNB,bnb,0xbf7c81fff98bbe61b40ed186e4afd6ddd01337fe
6210,The Sandbox,SAND,the-sandbox,220,2020-08-05T00:00:00.000Z,"['collectibles-nfts', 'content-creation', 'gaming', 'ethereum-ecosystem', 'binance-launchpad', 'metaverse', 'play-to-earn', 'animoca-brands-portfolio']",3000000000.0,1232664778.2233226,3000000000,,39,,,2022-05-31T15:32:00.000Z,1.4101340407946392,657732110.4650347,88.3547,0.48940972,2.28449974,11.19541575,-33.74610382,-59.45633282,-57.35808769,1738222564.6612818,0.1334,4230402122.38,2022-05-31T15:32:00.000Z,1027.0,Ethereum,ETH,ethereum,0x3845badAde8e6dFF049820680d1F14bD3903a5d0
2087,KuCoin Token,KCS,kucoin-token,38,2017-10-24T00:00:00.000Z,"['marketplace', 'centralized-exchange', 'discount-token', 'algorand-ecosystem']",170118638.0,98379860.95,145879861,,40,,,2022-05-31T15:32:00.000Z,17.345073755879003,8288531.79885873,11.3342,0.25043387,3.31028993,4.39973393,-2.23468746,-17.2623963,-16.35991116,1706405944.2708707,0.1308,2950720323.36,2022-05-31T15:32:00.000Z,1027.0,Ethereum,ETH,ethereum,0x039b5649a59967e3e936d7471f9c3700100ee1ab
2280,Filecoin,FIL,filecoin,209,2017-12-13T00:00:00.000Z,"['mineable', 'distributed-computing', 'filesharing', 'storage', 'polychain-capital-portfolio', 'blockchain-capital-portfolio', 'boostvc-portfolio', 'dcg-portfolio', 'hashkey-capital-portfolio', 'a16z-portfolio', 'winklevoss-capital-portfolio', 'pantera-capital-portfolio', 'web3', 'bnb-chain']",,212745072.0,212745072,,41,,,2022-05-31T15:32:00.000Z,7.974038878776098,327687416.4880196,32.9749,0.51693548,0.14770398,-4.46662155,-48.01053064,-67.97959858,-62.25991433,1696437475.3960204,0.1301,1696437475.4,2022-05-31T15:32:00.000Z,2502.0,Huobi Token,HT,huobi-token,0xae3a768f9ab104c69a7cd6041fe16ffa235d1810
